DTE,OTM,VIX TYPE,VIX MEMORY,ESTIMATOR,ESTIMATOR MEMORY,aRC,aSD,MD,MLD,IR,VaR,CVaR,N
3,5,VIX30D,63,YZ,10,6.68,4.26,6.8,0.91,1.57*,-0.04,-0.51,776
3,5,VIX30D,63,YZ,21,6.43,4.54,6.91,0.76,1.41,-0.04,-0.5,774
3,5,VIX30D,63,YZ,63,7.38,2.82,3.07,0.28,2.62***,-0.04,-0.36,754
3,5,VIX30D,84,GK,3,5.67,8.51,15.9,1.0,0.67,-0.09,-1.11,849
3,5,VIX30D,84,GK,5,6.56,7.93,13.54,1.0,0.83,-0.08,-1.04,849
3,5,VIX30D,84,GK,10,6.93,7.46,12.69,1.0,0.93,-0.08,-0.98,842
3,5,VIX30D,84,GK,21,9.37,4.77,4.76,0.39,1.96***,-0.08,-0.74,841
3,5,VIX30D,84,GK,63,9.36,4.05,6.09,0.64,2.31***,-0.08,-0.62,835
3,5,VIX30D,84,HV,3,5.38,7.42,13.9,1.0,0.73,-0.08,-0.98,803
3,5,VIX30D,84,HV,5,6.92,5.01,6.95,0.5,1.38,-0.04,-0.69,789
3,5,VIX30D,84,HV,10,8.05,3.4,3.76,0.48,2.37***,-0.04,-0.45,771
3,5,VIX30D,84,HV,21,8.23,2.65,2.57,0.22,3.11***,-0.04,-0.33,755
3,5,VIX30D,84,HV,63,6.51,2.18,2.28,0.27,2.99***,-0.04,-0.28,725
3,5,VIX30D,84,YZ,3,5.5,4.15,8.55,1.0,1.33,-0.03,-0.45,715
3,5,VIX30D,84,YZ,5,5.59,5.31,9.41,1.0,1.05,-0.04,-0.57,761
3,5,VIX30D,84,YZ,10,7.53,3.83,6.07,0.67,1.96**,-0.04,-0.47,782
3,5,VIX30D,84,YZ,21,6.53,4.18,6.31,0.79,1.56*,-0.04,-0.5,781
3,5,VIX30D,84,YZ,63,7.17,2.57,2.28,0.28,2.79***,-0.05,-0.36,763
3,5,VIX30D,126,GK,3,7.87,6.34,11.63,1.0,1.24,-0.08,-0.9,851
3,5,VIX30D,126,GK,5,8.26,6.27,10.62,0.98,1.32,-0.09,-0.88,854
3,5,VIX30D,126,GK,10,8.92,5.49,8.73,0.62,1.63*,-0.08,-0.8,847
3,5,VIX30D,126,GK,21,10.07,4.87,6.76,0.48,2.07***,-0.08,-0.68,846
3,5,VIX30D,126,GK,63,10.62,3.65,4.3,0.45,2.91***,-0.06,-0.56,842
3,5,VIX30D,126,HV,3,6.7,6.62,15.31,1.0,1.01,-0.06,-0.85,802
3,5,VIX30D,126,HV,5,8.84,4.01,4.76,0.38,2.2***,-0.04,-0.59,787
3,5,VIX30D,126,HV,10,9.46,3.14,2.9,0.38,3.01***,-0.04,-0.4,772
3,5,VIX30D,126,HV,21,9.45,2.66,2.31,0.32,3.55***,-0.04,-0.31,760
3,5,VIX30D,126,HV,63,8.1,2.33,2.17,0.33,3.48***,-0.03,-0.27,726
3,5,VIX30D,126,YZ,3,6.17,4.09,7.87,1.0,1.51*,-0.03,-0.43,715
3,5,VIX30D,126,YZ,5,6.88,4.45,7.48,0.81,1.55*,-0.04,-0.5,763
3,5,VIX30D,126,YZ,10,8.82,3.22,4.14,0.48,2.74***,-0.04,-0.41,786
3,5,VIX30D,126,YZ,21,7.57,4.27,6.44,0.62,1.77**,-0.05,-0.48,778
3,5,VIX30D,126,YZ,63,8.82,2.55,2.12,0.34,3.45***,-0.05,-0.32,765
3,5,VIX30D,252,GK,3,9.39,4.55,8.1,0.62,2.07***,-0.07,-0.65,856
3,5,VIX30D,252,GK,5,10.09,3.91,5.61,0.53,2.58***,-0.07,-0.59,853
3,5,VIX30D,252,GK,10,10.11,3.98,4.71,0.72,2.54***,-0.07,-0.59,853
3,5,VIX30D,252,GK,21,10.89,3.4,3.06,0.38,3.2***,-0.06,-0.51,849
3,5,VIX30D,252,GK,63,10.99,3.05,2.49,0.48,3.61***,-0.07,-0.45,844
3,5,VIX30D,252,HV,3,7.22,5.2,10.31,0.76,1.39,-0.06,-0.71,813
3,5,VIX30D,252,HV,5,9.54,3.13,2.95,0.47,3.05***,-0.04,-0.46,798
3,5,VIX30D,252,HV,10,9.43,2.81,2.4,0.38,3.36***,-0.04,-0.37,775
3,5,VIX30D,252,HV,21,9.87,2.39,1.46,0.26,4.13***,-0.03,-0.29,758
3,5,VIX30D,252,HV,63,8.89,2.26,1.5,0.35,3.94***,-0.03,-0.25,733
3,5,VIX30D,252,YZ,3,7.37,2.74,4.27,0.63,2.69***,-0.03,-0.32,727
3,5,VIX30D,252,YZ,5,7.91,3.33,4.59,0.56,2.38***,-0.03,-0.4,771
3,5,VIX30D,252,YZ,10,9.28,2.77,3.17,0.38,3.35***,-0.04,-0.36,785
3,5,VIX30D,252,YZ,21,9.07,2.88,3.02,0.38,3.15***,-0.04,-0.37,787
3,5,VIX30D,252,YZ,63,9.48,2.42,1.51,0.39,3.92***,-0.04,-0.3,768
3,5,VIX9D,21,GK,3,7.85,11.83,18.11,1.0,0.66,-0.1,-1.36,810
3,5,VIX9D,21,GK,5,9.79,10.56,13.18,1.0,0.93,-0.1,-1.16,813
3,5,VIX9D,21,GK,10,6.97,9.47,12.59,1.0,0.74,-0.08,-1.13,810
3,5,VIX9D,21,GK,21,8.67,7.01,7.86,0.85,1.24,-0.09,-0.87,806
3,5,VIX9D,21,GK,63,12.07,7.07,6.93,0.81,1.71**,-0.07,-0.8,795
3,5,VIX9D,21,HV,3,3.48,12.17,21.47,1.0,0.29,-0.08,-1.31,768
3,5,VIX9D,21,HV,5,5.43,6.83,10.72,0.8,0.8,-0.05,-0.77,754
3,5,VIX9D,21,HV,10,7.58,2.86,3.11,0.32,2.65***,-0.03,-0.38,733
3,5,VIX9D,21,HV,21,7.22,2.45,2.28,0.39,2.94***,-0.03,-0.28,719
3,5,VIX9D,21,HV,63,8.56,3.73,4.86,0.33,2.3***,-0.03,-0.33,684
3,5,VIX9D,21,YZ,3,5.84,3.75,6.6,1.0,1.56*,-0.02,-0.41,687
3,5,VIX9D,21,YZ,5,5.06,4.87,7.81,1.0,1.04,-0.04,-0.53,730
3,5,VIX9D,21,YZ,10,6.75,3.42,5.77,0.6,1.97***,-0.03,-0.42,749
3,5,VIX9D,21,YZ,21,6.48,3.52,4.95,0.7,1.84**,-0.05,-0.41,744
3,5,VIX9D,21,YZ,63,9.53,4.75,4.88,0.49,2.01***,-0.05,-0.47,719
3,5,VIX9D,42,GK,3,7.39,9.46,16.66,1.0,0.78,-0.08,-1.15,835
3,5,VIX9D,42,GK,5,5.95,10.4,15.42,1.0,0.57,-0.09,-1.22,836
3,5,VIX9D,42,GK,10,5.17,9.64,13.41,1.0,0.54,-0.07,-1.13,833
3,5,VIX9D,42,GK,21,8.46,5.97,7.88,0.81,1.42,-0.07,-0.76,831
3,5,VIX9D,42,GK,63,9.36,4.79,5.68,0.81,1.95***,-0.06,-0.64,821
3,5,VIX9D,42,HV,3,2.14,10.97,20.1,1.0,0.19,-0.07,-1.26,788
3,5,VIX9D,42,HV,5,5.97,5.13,5.89,0.88,1.16,-0.04,-0.68,775
3,5,VIX9D,42,HV,10,7.02,3.23,4.17,0.48,2.17***,-0.03,-0.41,759
3,5,VIX9D,42,HV,21,6.75,2.52,3.26,0.32,2.68***,-0.03,-0.3,742
3,5,VIX9D,42,HV,63,6.61,2.24,2.54,0.35,2.95***,-0.03,-0.25,706
3,5,VIX9D,42,YZ,3,5.75,3.52,5.64,1.0,1.63*,-0.03,-0.4,710
3,5,VIX9D,42,YZ,5,4.3,5.56,9.3,1.0,0.77,-0.04,-0.57,750
3,5,VIX9D,42,YZ,10,6.58,3.36,5.8,0.59,1.96**,-0.04,-0.43,770
3,5,VIX9D,42,YZ,21,5.52,3.98,6.76,0.65,1.39,-0.04,-0.44,765
3,5,VIX9D,42,YZ,63,7.44,2.86,2.18,0.52,2.6***,-0.04,-0.34,744
3,5,VIX9D,63,GK,3,7.23,8.01,15.58,1.0,0.9,-0.07,-1.03,843
3,5,VIX9D,63,GK,5,6.76,8.86,14.69,1.0,0.76,-0.07,-1.06,846
3,5,VIX9D,63,GK,10,6.8,7.43,9.53,0.88,0.92,-0.07,-0.96,843
3,5,VIX9D,63,GK,21,5.78,7.92,11.16,1.0,0.73,-0.07,-0.93,840
3,5,VIX9D,63,GK,63,9.1,3.87,5.86,0.69,2.35***,-0.06,-0.57,830
3,5,VIX9D,63,HV,3,3.42,8.99,17.08,1.0,0.38,-0.07,-1.11,798
3,5,VIX9D,63,HV,5,5.0,6.17,9.35,0.86,0.81,-0.04,-0.75,787
3,5,VIX9D,63,HV,10,6.87,3.49,4.36,0.59,1.97**,-0.03,-0.44,764
3,5,VIX9D,63,HV,21,7.24,2.61,3.2,0.38,2.78***,-0.03,-0.3,753
3,5,VIX9D,63,HV,63,5.91,1.88,2.05,0.46,3.14***,-0.03,-0.25,720
3,5,VIX9D,63,YZ,3,3.86,5.59,10.17,1.0,0.69,-0.03,-0.51,714
3,5,VIX9D,63,YZ,5,6.05,3.87,5.41,0.71,1.56*,-0.04,-0.47,757
3,5,VIX9D,63,YZ,10,6.28,3.55,5.86,0.69,1.77**,-0.04,-0.45,780
3,5,VIX9D,63,YZ,21,5.96,3.93,6.98,0.88,1.52*,-0.04,-0.44,774
3,5,VIX9D,63,YZ,63,6.46,2.4,2.55,0.42,2.69***,-0.04,-0.33,756
3,5,VIX9D,84,GK,3,6.22,7.77,13.93,1.0,0.8,-0.08,-1.02,848
3,5,VIX9D,84,GK,5,7.14,7.52,12.75,1.0,0.95,-0.08,-0.96,850
3,5,VIX9D,84,GK,10,7.23,6.53,9.4,0.91,1.11,-0.08,-0.89,847
3,5,VIX9D,84,GK,21,7.37,6.17,8.66,0.71,1.2,-0.08,-0.8,844
3,5,VIX9D,84,GK,63,9.5,3.53,5.2,0.58,2.69***,-0.07,-0.54,836
3,5,VIX9D,84,HV,3,3.34,8.79,17.91,1.0,0.38,-0.08,-1.07,803
3,5,VIX9D,84,HV,5,6.19,5.12,7.42,0.55,1.21,-0.05,-0.67,790
3,5,VIX9D,84,HV,10,7.12,3.17,3.45,0.57,2.24***,-0.03,-0.43,773
3,5,VIX9D,84,HV,21,7.21,2.56,2.87,0.38,2.81***,-0.03,-0.31,758
3,5,VIX9D,84,HV,63,5.97,1.77,1.51,0.27,3.37***,-0.04,-0.24,724
3,5,VIX9D,84,YZ,3,4.81,4.64,8.98,1.0,1.04,-0.03,-0.47,713
3,5,VIX9D,84,YZ,5,5.84,4.32,7.14,1.0,1.35,-0.03,-0.49,766
3,5,VIX9D,84,YZ,10,6.6,3.31,5.41,0.69,2.0***,-0.04,-0.43,788
3,5,VIX9D,84,YZ,21,6.44,3.28,5.06,0.63,1.96**,-0.04,-0.41,780
3,5,VIX9D,84,YZ,63,6.27,2.24,2.4,0.48,2.8***,-0.05,-0.33,760
3,5,VIX9D,126,GK,3,7.17,6.0,11.53,1.0,1.2,-0.08,-0.83,849
3,5,VIX9D,126,GK,5,7.91,5.95,11.13,0.99,1.33,-0.08,-0.8,852
3,5,VIX9D,126,GK,10,8.32,4.96,7.3,0.71,1.68**,-0.08,-0.73,848
3,5,VIX9D,126,GK,21,9.4,4.0,5.39,0.46,2.35***,-0.08,-0.6,847
3,5,VIX9D,126,GK,63,9.54,3.09,4.3,0.55,3.09***,-0.06,-0.5,839
3,5,VIX9D,126,HV,3,4.7,7.2,16.34,1.0,0.65,-0.06,-0.9,803
3,5,VIX9D,126,HV,5,7.44,3.62,4.24,0.46,2.05***,-0.04,-0.54,788
3,5,VIX9D,126,HV,10,7.68,2.84,2.9,0.48,2.7***,-0.03,-0.4,772
3,5,VIX9D,126,HV,21,7.85,2.24,2.06,0.32,3.51***,-0.04,-0.29,761
3,5,VIX9D,126,HV,63,6.66,1.8,1.54,0.35,3.7***,-0.04,-0.24,729
3,5,VIX9D,126,YZ,3,6.16,2.81,4.67,0.76,2.19***,-0.03,-0.35,714
3,5,VIX9D,126,YZ,5,6.15,4.06,6.84,0.94,1.51,-0.04,-0.45,762
3,5,VIX9D,126,YZ,10,7.6,2.67,3.64,0.48,2.85***,-0.04,-0.36,786
3,5,VIX9D,126,YZ,21,7.28,2.83,4.07,0.5,2.57***,-0.04,-0.37,779
3,5,VIX9D,126,YZ,63,6.96,2.15,1.69,0.44,3.24***,-0.05,-0.32,764
3,5,VIX9D,252,GK,3,8.64,3.57,5.82,0.62,2.42***,-0.07,-0.57,855
3,5,VIX9D,252,GK,5,8.38,3.89,6.69,0.65,2.15***,-0.07,-0.58,852
3,5,VIX9D,252,GK,10,8.24,3.83,5.4,0.74,2.15***,-0.06,-0.58,851
3,5,VIX9D,252,GK,21,8.69,3.56,4.93,0.54,2.44***,-0.06,-0.52,848
3,5,VIX9D,252,GK,63,9.64,2.42,1.98,0.51,3.98***,-0.06,-0.39,842
3,5,VIX9D,252,HV,3,7.2,3.71,6.08,0.75,1.94***,-0.05,-0.58,814
3,5,VIX9D,252,HV,5,7.82,2.8,3.25,0.54,2.8***,-0.04,-0.44,793
3,5,VIX9D,252,HV,10,7.82,2.42,2.41,0.44,3.23***,-0.04,-0.34,773
3,5,VIX9D,252,HV,21,8.22,2.0,1.54,0.47,4.1***,-0.04,-0.27,759
3,5,VIX9D,252,HV,63,7.32,1.79,1.4,0.42,4.09***,-0.04,-0.23,729
3,5,VIX9D,252,YZ,3,5.94,2.61,4.62,0.76,2.28***,-0.03,-0.31,727
3,5,VIX9D,252,YZ,5,7.58,1.97,1.53,0.42,3.85***,-0.04,-0.29,768
