DTE,OTM,VIX TYPE,VIX MEMORY,ESTIMATOR,ESTIMATOR MEMORY,aRC,aSD,MD,MLD,IR,VaR,CVaR,N
3,2,VIX30D,21,GK,5,14.33,4.66,1.53,0.07,3.07,-0.25,-0.74,125
3,2,VIX30D,21,GK,10,5.56,6.69,4.9,0.28,0.83,-0.29,-1.17,122
3,2,VIX30D,21,GK,21,-2.04,12.17,9.0,0.28,-0.17,-0.26,-1.65,125
3,2,VIX30D,21,GK,63,-7.17,15.4,11.71,0.28,-0.47,-0.25,-2.0,123
3,2,VIX30D,21,HV,3,11.59,5.21,2.12,0.06,2.22,-0.27,-0.92,117
3,2,VIX30D,21,HV,5,5.82,5.5,2.92,0.25,1.06,-0.23,-1.02,106
3,2,VIX30D,21,HV,10,7.88,3.86,1.69,0.14,2.04,-0.14,-0.57,104
3,2,VIX30D,21,HV,21,9.41,3.32,1.48,0.06,2.83,-0.09,-0.39,89
3,2,VIX30D,21,HV,63,-2.69,10.07,7.36,0.25,-0.27,-0.06,-1.2,82
3,2,VIX30D,21,YZ,3,8.57,3.24,1.5,0.06,2.65,-0.07,-0.4,72
3,2,VIX30D,21,YZ,5,7.3,3.61,1.51,0.08,2.02,-0.12,-0.51,76
3,2,VIX30D,21,YZ,10,6.2,3.5,1.52,0.12,1.77,-0.1,-0.5,87
3,2,VIX30D,21,YZ,21,7.98,3.47,1.53,0.12,2.3,-0.1,-0.44,89
3,2,VIX30D,21,YZ,63,2.27,7.0,4.71,0.25,0.32,-0.05,-0.88,77
3,2,VIX30D,42,GK,3,10.23,5.59,3.29,0.11,1.83,-0.16,-0.88,127
3,2,VIX30D,42,GK,5,9.72,5.65,3.3,0.06,1.72,-0.15,-0.87,129
3,2,VIX30D,42,GK,10,6.41,5.97,3.29,0.18,1.07,-0.17,-1.03,124
3,2,VIX30D,42,GK,21,1.41,8.08,4.87,0.28,0.17,-0.16,-1.31,128
3,2,VIX30D,42,GK,63,-1.35,8.7,6.03,0.25,-0.16,-0.14,-1.43,128
3,2,VIX30D,42,HV,3,7.93,6.28,4.72,0.06,1.26,-0.15,-1.11,117
3,2,VIX30D,42,HV,5,4.85,6.18,3.31,0.16,0.78,-0.15,-1.07,106
3,2,VIX30D,42,HV,10,5.25,5.05,3.3,0.1,1.04,-0.09,-0.69,105
3,2,VIX30D,42,HV,21,5.94,4.81,3.3,0.06,1.23,-0.07,-0.55,94
3,2,VIX30D,42,HV,63,1.11,5.59,3.41,0.25,0.2,-0.06,-0.78,83
3,2,VIX30D,42,YZ,3,5.47,4.9,3.29,0.06,1.12,-0.07,-0.57,72
3,2,VIX30D,42,YZ,5,4.54,5.12,3.32,0.06,0.89,-0.1,-0.67,80
3,2,VIX30D,42,YZ,10,3.13,4.91,3.27,0.12,0.64,-0.08,-0.67,91
3,2,VIX30D,42,YZ,21,5.88,4.96,3.3,0.04,1.18,-0.07,-0.55,89
3,2,VIX30D,42,YZ,63,1.95,4.94,2.59,0.25,0.4,-0.06,-0.72,77
3,2,VIX30D,63,GK,3,9.82,6.31,4.01,0.12,1.56,-0.11,-0.94,126
3,2,VIX30D,63,GK,5,9.9,6.33,4.02,0.06,1.56,-0.14,-0.92,127
3,2,VIX30D,63,GK,10,7.35,6.39,4.0,0.19,1.15,-0.22,-1.02,124
3,2,VIX30D,63,GK,21,4.55,6.99,4.18,0.21,0.65,-0.19,-1.17,130
3,2,VIX30D,63,GK,63,1.29,7.34,4.83,0.27,0.18,-0.2,-1.26,130
3,2,VIX30D,63,HV,3,6.67,7.04,5.74,0.06,0.95,-0.13,-1.22,117
3,2,VIX30D,63,HV,5,6.3,6.61,4.01,0.07,0.95,-0.1,-1.03,106
3,2,VIX30D,63,HV,10,5.33,5.61,3.95,0.13,0.95,-0.08,-0.72,103
3,2,VIX30D,63,HV,21,6.11,5.6,3.95,0.1,1.09,-0.08,-0.64,93
3,2,VIX30D,63,HV,63,1.24,5.49,3.49,0.28,0.23,-0.05,-0.79,82
3,2,VIX30D,63,YZ,3,5.43,5.69,3.91,0.06,0.95,-0.04,-0.64,72
3,2,VIX30D,63,YZ,5,4.93,5.89,3.96,0.06,0.84,-0.09,-0.73,79
3,2,VIX30D,63,YZ,10,4.06,5.75,3.99,0.08,0.71,-0.09,-0.7,89
3,2,VIX30D,63,YZ,21,4.89,5.74,3.97,0.09,0.85,-0.08,-0.65,87
3,2,VIX30D,63,YZ,63,2.55,4.98,2.98,0.2,0.51,-0.06,-0.71,74
3,2,VIX30D,84,GK,3,8.22,6.83,4.35,0.17,1.2,-0.2,-1.06,128
3,2,VIX30D,84,GK,5,9.19,6.66,4.33,0.12,1.38,-0.09,-0.99,128
3,2,VIX30D,84,GK,10,5.5,6.95,4.35,0.21,0.79,-0.24,-1.18,124
3,2,VIX30D,84,GK,21,-0.19,8.96,6.6,0.27,-0.02,-0.23,-1.55,129
3,2,VIX30D,84,GK,63,-5.4,10.52,8.96,0.27,-0.51,-0.24,-1.79,127
3,2,VIX30D,84,HV,3,6.04,7.4,6.17,0.04,0.82,-0.1,-1.27,118
3,2,VIX30D,84,HV,5,4.74,6.91,4.35,0.16,0.69,-0.11,-1.1,108
3,2,VIX30D,84,HV,10,4.7,6.02,4.35,0.07,0.78,-0.07,-0.75,103
3,2,VIX30D,84,HV,21,4.92,6.03,4.28,0.12,0.82,-0.08,-0.73,91
3,2,VIX30D,84,HV,63,-0.88,6.51,4.91,0.27,-0.13,-0.04,-0.99,80
3,2,VIX30D,84,YZ,3,4.56,6.17,4.35,0.04,0.74,-0.04,-0.71,70
3,2,VIX30D,84,YZ,5,4.34,6.25,4.29,0.06,0.69,-0.08,-0.78,77
3,2,VIX30D,84,YZ,10,3.34,6.07,4.32,0.08,0.55,-0.07,-0.74,87
3,2,VIX30D,84,YZ,21,3.69,6.23,4.3,0.17,0.59,-0.1,-0.79,88
3,2,VIX30D,84,YZ,63,0.02,6.09,4.15,0.27,0.0,-0.06,-0.95,74
3,2,VIX30D,126,GK,3,10.39,6.05,3.84,0.17,1.72,-0.15,-0.92,130
3,2,VIX30D,126,GK,5,10.54,6.02,3.84,0.13,1.75,-0.1,-0.91,133
3,2,VIX30D,126,GK,10,8.4,6.12,3.81,0.2,1.37,-0.3,-1.01,129
3,2,VIX30D,126,GK,21,3.71,7.22,5.51,0.27,0.51,-0.3,-1.28,133
3,2,VIX30D,126,GK,63,0.13,8.06,7.0,0.27,0.02,-0.3,-1.44,130
3,2,VIX30D,126,HV,3,7.43,6.62,5.61,0.05,1.12,-0.08,-1.14,120
3,2,VIX30D,126,HV,5,6.21,6.16,3.83,0.21,1.01,-0.08,-0.99,113
3,2,VIX30D,126,HV,10,6.49,5.48,3.84,0.08,1.18,-0.07,-0.7,108
3,2,VIX30D,126,HV,21,5.73,5.49,3.76,0.13,1.04,-0.07,-0.7,97
3,2,VIX30D,126,HV,63,1.38,5.93,4.67,0.27,0.23,-0.05,-0.91,86
3,2,VIX30D,126,YZ,3,5.43,5.6,3.78,0.04,0.97,-0.03,-0.67,74
3,2,VIX30D,126,YZ,5,5.36,5.66,3.76,0.06,0.95,-0.06,-0.72,80
3,2,VIX30D,126,YZ,10,4.98,5.53,3.8,0.12,0.9,-0.06,-0.69,95
3,2,VIX30D,126,YZ,21,6.14,5.58,3.77,0.12,1.1,-0.08,-0.68,95
3,2,VIX30D,126,YZ,63,2.77,5.48,3.84,0.27,0.51,-0.11,-0.85,80
3,2,VIX30D,252,GK,3,13.91,5.25,2.39,0.23,2.65,-0.26,-0.86,130
3,2,VIX30D,252,GK,5,15.42,4.99,2.37,0.18,3.09,-0.21,-0.79,133
3,2,VIX30D,252,GK,10,10.48,5.69,4.02,0.27,1.84,-0.42,-1.03,130
3,2,VIX30D,252,GK,21,3.31,8.84,7.56,0.27,0.37,-0.36,-1.47,133
3,2,VIX30D,252,GK,63,0.29,9.99,8.87,0.27,0.03,-0.41,-1.64,130
3,2,VIX30D,252,HV,3,13.8,5.27,3.5,0.14,2.62,-0.33,-0.92,120
3,2,VIX30D,252,HV,5,11.11,4.99,2.42,0.22,2.22,-0.14,-0.81,113
3,2,VIX30D,252,HV,10,11.01,4.18,2.34,0.12,2.63,-0.06,-0.54,106
3,2,VIX30D,252,HV,21,10.05,4.36,2.36,0.17,2.3,-0.05,-0.57,98
3,2,VIX30D,252,HV,63,1.21,7.24,5.93,0.27,0.17,-0.05,-1.09,85
3,2,VIX30D,252,YZ,3,9.91,4.33,2.36,0.04,2.29,-0.03,-0.45,74
